DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  2:43:38 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.4,4101.232910,7345.985840,13,184416.39,223.86,-0.03,0.34,-0.31,20.30,446.7570,2.1989,1011.59,2.4470,
1.5,4101.232910,7345.985840,13,184416.50,223.87,0.01,0.37,-0.30,20.28,446.5294,2.2479,1011.41,2.4120,
1.6,4101.232910,7345.985840,13,184416.61,223.89,0.09,0.37,-0.31,20.27,446.5500,2.2763,1011.47,2.4140,
1.7,4101.232910,7345.985840,13,184416.70,223.89,0.13,0.41,-0.27,20.26,446.6635,2.2118,1011.30,2.4450,
1.8,4101.232910,7345.985840,13,184416.80,223.89,0.17,0.46,-0.26,20.30,446.7261,2.2068,1011.36,2.3851,
1.9,4101.232910,7345.985840,13,184416.89,223.91,0.28,0.44,-0.22,20.33,446.5919,2.1860,1011.37,2.3996,
2.0,4101.232910,7345.985840,13,184417.00,223.92,0.34,0.43,-0.21,20.43,446.6951,2.2144,1011.31,2.3913,
2.1,4101.232910,7345.985840,13,184417.09,223.93,0.34,0.38,-0.22,20.36,446.6023,2.2221,1011.41,2.3913,
2.2,4101.232910,7345.985840,13,184417.20,223.94,0.30,0.36,-0.21,20.37,446.5404,2.2015,1011.23,2.3975,
2.3,4101.232910,7345.985840,13,184417.30,223.94,0.26,0.35,-0.24,20.36,446.4475,2.1912,1011.53,2.3708,
2.4,4101.232910,7345.985840,13,184417.39,223.95,0.34,0.29,-0.20,20.41,446.5817,2.1990,1011.13,2.3955,
2.5,4101.232910,7345.985840,13,184417.50,223.96,0.34,0.33,-0.20,20.29,437.5325,2.9366,1011.25,2.3501,
2.6,4101.232910,7345.985840,13,184417.59,223.97,0.34,0.27,-0.20,20.33,437.6054,2.8798,1011.23,2.3872,
2.7,4101.232910,7345.985840,13,184417.70,223.97,0.34,0.24,-0.20,20.40,437.5435,2.9288,1011.32,2.3810,
2.8,4101.232910,7345.985840,13,184417.80,223.99,0.32,0.26,-0.20,20.39,436.7078,2.9778,1011.31,2.3666,
2.9,4101.232910,7345.985840,13,184417.91,223.99,0.31,0.30,-0.15,20.38,436.5633,2.8927,1011.15,2.3604,
3.0,4101.232910,7345.985840,13,184418.00,224.00,0.30,0.31,-0.10,20.36,437.2643,2.9366,1011.35,2.3914,
3.1,4101.232910,7345.985840,13,184418.08,224.01,0.31,0.31,-0.12,20.34,436.9967,2.9030,1011.37,2.3542,
3.2,4101.232910,7345.985840,13,184418.19,224.02,0.31,0.33,-0.17,20.28,437.0895,2.9315,1011.26,2.3583,
3.3,4101.232910,7345.985840,13,184418.30,224.03,0.28,0.39,-0.21,20.29,435.8411,2.9031,1011.29,2.4016,
3.4,4101.232910,7345.985840,13,184418.39,224.04,0.29,0.43,-0.25,20.28,435.5728,2.8798,1011.26,2.3604,
3.5,4101.232910,7345.985840,13,184418.50,224.04,0.27,0.44,-0.25,20.27,435.6038,2.9082,1011.25,2.3624,
3.6,4101.232910,7345.985840,13,184418.59,224.05,0.23,0.46,-0.23,20.25,434.8713,2.7715,1011.18,2.3728,
3.7,4101.232910,7345.985840,13,184418.70,224.06,0.23,0.45,-0.21,20.29,434.7578,2.7613,1011.48,2.3522,
3.8,4101.232910,7345.985840,13,184418.80,224.07,0.21,0.41,-0.21,20.30,434.5824,2.6529,1011.28,2.3336,
3.9,4101.232910,7345.985840,13,184418.89,224.08,0.25,0.33,-0.21,20.36,434.7371,2.7251,1011.33,2.3459,
4.0,4101.232910,7345.985840,13,184419.00,224.09,0.28,0.28,-0.16,20.41,434.7571,2.6709,1011.27,2.3171,
4.1,4101.232910,7345.985840,13,184419.09,224.11,0.36,0.31,-0.16,20.51,433.9117,2.6503,1011.30,2.3129,
4.2,4101.232910,7345.985840,13,184419.20,224.12,0.42,0.26,-0.14,20.68,433.8182,2.6296,1011.19,2.3501,
4.3,4101.232910,7345.985840,13,184419.30,224.14,0.39,0.17,-0.08,21.20,433.8389,2.6219,1011.47,2.3646,
