DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016, 10:13:23 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.6,4059.941162,7351.394531,13,141401.23,122.36,0.97,0.92,0.90,13.82,422.6429,2.1474,1019.59,2.2241,
0.7,4059.941162,7351.394531,13,141401.34,122.36,1.07,1.06,1.05,13.89,422.5920,2.1242,1019.35,2.1746,
0.8,4059.941162,7351.394531,13,141401.44,122.37,0.97,0.95,1.09,13.97,422.5707,2.1448,1019.28,2.1705,
0.9,4059.941162,7351.394531,13,141401.53,122.39,1.03,0.81,1.08,14.00,422.6945,2.1371,1019.30,2.1993,
1.0,4059.941162,7351.394531,13,141401.63,122.40,0.86,1.05,0.89,13.99,422.6223,2.0856,1019.31,2.1808,
1.1,4059.941162,7351.394531,13,141401.73,122.40,0.63,1.13,0.85,13.99,422.6223,2.1371,1019.42,2.2055,
1.2,4059.941162,7351.394531,13,141401.83,122.41,0.74,1.02,0.81,14.00,422.6642,2.1164,1019.23,2.2097,
1.3,4059.941162,7351.394531,13,141401.94,122.40,0.80,0.89,0.75,14.03,422.6017,2.1164,1019.36,2.1622,
1.4,4059.941162,7351.394531,13,141402.03,122.41,0.69,0.88,0.75,14.07,422.1478,2.1267,1019.27,2.1767,
1.5,4059.941162,7351.394531,13,141402.13,122.42,0.62,0.86,0.84,14.05,422.1065,2.1500,1019.22,2.1787,
1.6,4059.941162,7351.394531,13,141402.22,122.42,0.62,0.85,0.94,14.03,421.9827,2.1267,1019.24,2.2117,
1.7,4059.941162,7351.394531,13,141402.33,122.43,0.58,0.49,0.92,14.02,421.9827,2.1474,1019.31,2.1663,
1.8,4059.941162,7351.394531,13,141402.44,122.44,0.29,0.48,0.91,14.08,421.9724,2.0959,1019.32,2.2014,
1.9,4059.941162,7351.394531,13,141402.53,122.45,0.47,0.64,0.92,14.10,422.0549,2.0803,1019.47,2.1828,
2.0,4059.941162,7351.394531,13,141402.64,122.46,0.41,0.46,0.85,14.19,422.4985,2.0829,1019.43,2.1994,
2.1,4059.941162,7351.394531,13,141402.75,122.46,0.28,0.32,0.73,14.23,422.3954,2.0958,1019.33,2.2097,
2.2,4059.941162,7351.394531,13,141402.83,122.47,0.26,0.48,0.58,14.16,422.0033,2.0932,1019.41,2.1952,
2.3,4059.941162,7351.394531,13,141402.94,122.48,0.29,0.70,0.59,14.10,421.9311,2.1371,1019.62,2.1890,
2.4,4059.941162,7351.394531,13,141403.03,122.48,0.25,0.87,0.64,14.03,422.0136,2.1062,1019.57,2.1622,
2.5,4059.941162,7351.394531,13,141403.13,122.49,0.10,0.93,0.64,13.94,423.7468,2.0752,1019.54,2.1870,
2.6,4059.941162,7351.394531,13,141403.23,122.50,0.17,0.74,0.56,13.87,423.4167,2.0958,1019.35,2.1870,
2.7,4059.941162,7351.394531,13,141403.33,122.50,0.52,0.76,0.37,13.78,424.0879,2.0726,1019.36,2.1973,
