DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016, 12:41:22 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.4,4108.176270,7351.491211,6,164159.63,192.23,0.24,2.95,0.36,10.49,425.9446,30.1677,1022.73,2.0879,
1.5,4108.176270,7351.491211,6,164159.72,192.43,0.25,3.02,0.30,10.49,425.4598,26.1462,1022.75,2.0364,
1.6,4108.175781,7351.491211,6,164159.81,192.63,0.26,3.03,0.29,10.48,425.5011,26.1242,1022.70,2.0611,
1.7,4108.175781,7351.491211,6,164163.31,192.79,0.23,2.94,0.33,10.48,425.5011,26.1269,1022.50,2.0652,
1.8,4108.175781,7351.491211,6,164200.02,192.81,0.21,2.95,0.27,10.47,425.3973,26.1294,1022.78,2.0632,
1.9,4108.175781,7351.491211,6,164200.11,193.01,0.12,3.01,0.25,10.45,425.4495,26.1320,1022.76,2.0591,
2.0,4108.175293,7351.491211,6,164200.22,193.21,0.12,3.06,0.29,10.45,425.3251,26.1319,1022.56,2.0591,
2.1,4108.175293,7351.491211,6,164200.31,193.43,0.21,3.11,0.34,10.43,425.2426,26.1320,1022.72,2.0612,
2.2,4108.175293,7351.491211,5,164200.42,193.63,0.17,3.20,0.38,10.40,425.2020,26.1422,1022.70,2.0240,
2.3,4108.175293,7351.491211,5,164200.52,193.82,0.05,3.29,0.44,10.72,425.3876,26.1410,1022.60,2.0425,
2.4,4108.175293,7351.491211,5,164200.61,194.06,0.00,3.39,0.36,10.92,425.4076,26.1487,1022.71,2.1003,
2.5,4108.174805,7351.491699,5,164200.72,194.29,0.01,3.50,0.33,10.93,425.5527,26.1410,1022.59,2.0839,
2.6,4108.174805,7351.491699,5,164200.81,194.56,0.17,3.52,0.44,10.69,425.5314,26.1320,1022.55,2.0591,
2.7,4108.174805,7351.491699,5,164200.92,194.81,0.16,3.54,0.52,10.75,425.4186,26.1410,1022.61,2.0714,
2.8,4108.174805,7351.491699,5,164201.02,195.02,0.14,3.57,0.53,10.99,425.3670,26.1165,1022.63,2.0591,
2.9,4108.174805,7351.491699,5,164201.11,195.22,0.11,3.60,0.60,11.04,425.3979,26.1462,1022.73,2.0529,
3.0,4108.174805,7351.491699,5,164201.22,195.45,0.11,3.69,0.66,11.04,422.0662,9.3213,1022.70,2.1044,
3.1,4108.174805,7351.491699,5,164201.31,195.70,0.26,3.68,0.68,11.01,422.1172,9.3291,1022.73,2.0900,
3.2,4108.174316,7351.491699,5,164201.42,195.89,0.25,3.65,0.65,11.10,420.4778,7.5445,1022.51,2.0879,
3.3,4108.174316,7351.491699,5,164201.52,196.13,0.07,3.67,0.62,11.05,420.4668,7.5162,1022.79,2.1044,
3.4,4108.174316,7351.491699,5,164201.63,196.45,-0.19,3.85,0.57,10.99,420.4984,7.5111,1022.68,2.0776,
3.5,4108.173828,7351.491699,5,164201.72,196.72,-0.21,4.03,0.67,10.90,421.1785,5.9689,1022.81,2.0425,
3.6,4108.173828,7351.491699,5,164201.81,196.94,-0.11,4.15,0.51,10.78,421.2198,5.9767,1022.72,2.0921,
3.7,4108.173828,7351.491699,5,164201.92,197.17,-0.08,4.17,0.44,10.76,421.2411,5.9767,1022.45,2.0487,
3.8,4108.173828,7351.491699,5,164202.02,197.47,-0.05,4.18,0.50,10.97,420.3430,5.0045,1022.49,2.0714,
3.9,4108.173828,7351.491699,5,164202.11,197.79,-0.04,4.16,0.56,11.18,419.9620,4.9890,1022.59,2.0859,
4.0,4108.173340,7351.492188,5,164202.22,198.01,0.11,4.18,0.71,11.19,420.7872,4.3754,1022.75,2.0529,
4.1,4108.173340,7351.492188,5,164202.31,198.25,0.26,4.17,0.60,11.09,420.8181,4.4088,1022.79,2.0817,
4.2,4108.173340,7351.492188,5,164202.44,198.52,0.32,4.22,0.51,11.18,420.9110,4.4037,1022.64,2.0425,
