DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  3:25:59 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.0,4101.032227,7345.503418,11,192637.02,200.41,0.34,1.06,0.12,20.59,422.0826,2.8925,1012.65,2.8795,
1.1,4101.032227,7345.503418,11,192637.13,200.41,0.28,1.07,0.09,20.61,421.9382,2.8849,1012.61,2.9126,
1.2,4101.032227,7345.503418,11,192637.22,200.42,0.22,1.03,0.10,20.63,421.9795,2.9132,1012.52,2.9126,
1.3,4101.032227,7345.503418,11,192637.31,200.43,0.21,1.03,0.10,20.68,422.0723,2.9132,1012.66,2.9126,
1.4,4101.032227,7345.503418,11,192637.42,200.45,0.18,0.96,0.05,20.69,421.8763,2.9081,1012.68,2.8857,
1.5,4101.032227,7345.503418,11,192637.52,200.46,0.14,0.91,0.09,20.73,421.9073,2.7895,1012.80,2.8713,
1.6,4101.032227,7345.503418,11,192637.61,200.48,0.07,0.90,0.04,20.72,420.5765,2.8384,1012.69,2.8858,
1.7,4101.032227,7345.503418,11,192637.72,200.48,0.13,0.91,0.04,20.72,420.4320,2.8049,1012.57,2.8652,
1.8,4101.032227,7345.503418,11,192637.83,200.49,0.07,0.94,0.04,20.68,420.5146,2.7894,1012.46,2.8651,
1.9,4101.032227,7345.503418,11,192637.92,200.50,0.04,0.95,0.07,20.65,420.3392,2.7456,1012.51,2.8857,
2.0,4101.032227,7345.503418,11,192638.02,200.52,-0.24,0.82,0.31,20.65,420.0510,2.8255,1012.54,2.8837,
2.1,4101.032227,7345.503418,11,192638.11,200.53,-0.12,0.89,0.39,20.60,420.3708,2.7842,1012.55,2.9084,
2.2,4101.032227,7345.503418,11,192638.22,200.54,-0.16,0.99,0.31,20.64,420.2876,2.7482,1012.70,2.8857,
2.3,4101.032227,7345.503418,11,192638.33,200.54,-0.01,0.99,0.31,20.64,420.8653,2.7198,1012.73,2.9126,
2.4,4101.032227,7345.503418,11,192638.42,200.55,0.03,0.94,0.32,20.60,420.9169,2.7017,1012.49,2.8878,
2.5,4101.032227,7345.503418,11,192638.52,200.55,0.08,1.01,0.35,20.57,421.0717,2.7094,1012.57,2.8630,
2.6,4101.032227,7345.503418,11,192638.61,200.56,-0.00,1.09,0.24,20.57,420.3908,2.6243,1012.60,2.8487,
2.7,4101.032227,7345.503418,11,192638.72,200.58,-0.10,0.87,0.29,20.47,420.2882,2.6166,1012.68,2.8507,
2.8,4101.032227,7345.503418,11,192638.81,200.58,-0.04,0.91,0.30,20.35,420.4946,2.6398,1012.47,2.8734,
2.9,4101.032227,7345.503418,11,192638.92,200.59,-0.07,0.90,0.33,20.43,420.7209,2.5728,1012.57,2.8527,
3.0,4101.032227,7345.503418,11,192639.02,200.61,-0.08,0.90,0.32,20.51,420.5868,2.5676,1012.52,2.8754,
3.1,4101.032227,7345.503418,11,192639.13,200.63,-0.07,0.86,0.37,20.63,421.1548,2.5496,1012.43,2.8775,
3.2,4101.032227,7345.503418,11,192639.22,200.64,-0.11,0.83,0.34,20.75,421.1129,2.5754,1012.66,2.9043,
3.3,4101.032227,7345.503418,11,192639.31,200.66,-0.09,0.67,0.31,20.75,421.1645,2.5289,1012.68,2.8940,
3.4,4101.032227,7345.503418,11,192639.42,200.67,-0.05,0.67,0.29,20.72,421.3192,2.5650,1012.56,2.8672,
3.5,4101.032227,7345.503418,11,192639.52,200.70,-0.00,0.68,0.34,20.68,422.3824,2.5444,1012.32,2.8734,
3.6,4101.032227,7345.503418,11,192639.61,200.72,-0.09,0.66,0.29,20.61,422.4231,2.5625,1012.52,2.8940,
3.7,4101.032227,7345.503418,11,192639.72,200.73,-0.01,0.68,0.27,20.63,422.1239,2.5650,1012.55,2.8651,
3.8,4101.032227,7345.503418,11,192639.83,200.75,0.14,0.76,0.29,20.49,422.0930,2.5418,1012.51,2.8651,
3.9,4101.032227,7345.503418,11,192639.94,200.77,0.01,0.81,0.26,20.43,422.0826,2.5729,1012.64,2.8589,
4.0,4101.032227,7345.503418,11,192640.02,200.77,-0.06,0.84,0.24,20.48,422.5675,2.5882,1012.66,2.9084,
4.1,4101.032227,7345.503418,11,192640.11,200.79,-0.04,0.78,0.28,20.36,422.4334,2.6656,1012.60,2.9043,
4.2,4101.032227,7345.503418,11,192640.22,200.81,0.13,0.74,0.20,20.35,422.9905,2.5831,1012.59,2.8878,
4.3,4101.032227,7345.503418,11,192640.33,200.82,0.27,0.69,0.23,20.36,423.4134,2.6347,1012.62,2.8795,
4.4,4101.032227,7345.503418,11,192640.42,200.83,0.18,0.69,0.25,20.32,423.7642,2.6682,1012.54,2.9105,
4.5,4101.032227,7345.503418,11,192640.52,200.85,0.15,0.76,0.22,20.23,423.7745,2.6811,1012.43,2.8775,
4.6,4101.032227,7345.503418,11,192640.61,200.87,0.27,0.78,0.23,20.15,424.3522,2.6166,1012.52,2.9044,
