DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/3/2016, 11:01:45 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.0,4056.592773,7347.003418,14,150224.22,178.07,0.03,0.49,-0.11,17.37,561.2029,3.1327,1006.65,2.9847,
1.1,4056.592773,7347.003418,14,150224.31,178.06,0.03,0.49,-0.11,17.37,557.9849,3.1431,1006.59,2.9744,
1.2,4056.592773,7347.003418,14,150224.42,178.04,0.03,0.49,-0.11,17.37,558.1500,3.0992,1006.68,2.9929,
1.3,4056.592773,7347.003418,14,150224.52,178.02,0.03,0.49,-0.11,17.37,558.0165,3.1044,1006.63,3.0074,
1.4,4056.592773,7347.003418,14,150224.61,178.02,0.03,0.49,-0.11,17.37,555.3239,3.1327,1006.57,2.9826,
1.5,4056.592773,7347.003418,14,150224.70,178.00,0.03,0.49,-0.11,17.37,555.4374,3.0837,1006.64,2.9786,
1.6,4056.592773,7347.003418,14,150224.81,177.99,0.03,0.49,-0.11,17.37,555.6237,3.0450,1006.62,2.9950,
1.7,4056.592773,7347.003418,14,150224.92,177.97,0.03,0.49,-0.11,17.37,555.6539,3.0837,1006.62,3.0136,
1.8,4056.592773,7347.003418,14,150225.02,177.96,0.03,0.49,-0.11,17.37,555.0564,3.0941,1006.71,2.9929,
1.9,4056.592773,7347.003418,14,150225.11,177.94,0.03,0.49,-0.11,17.37,554.9842,3.0683,1006.62,2.9806,
2.0,4056.592773,7347.003418,14,150225.20,177.94,0.03,0.49,-0.11,17.37,554.9939,3.0734,1006.69,2.9785,
2.1,4056.592773,7347.003418,14,150225.31,177.93,0.03,0.49,-0.11,17.37,555.2414,3.0683,1006.70,2.9723,
2.2,4056.592773,7347.003418,14,150225.42,177.91,0.03,0.49,-0.11,17.37,555.2620,3.0734,1006.61,2.9682,
2.3,4056.592773,7347.003418,14,150225.52,177.90,0.03,0.49,-0.11,17.37,553.6531,3.0374,1006.58,2.9930,
2.4,4056.592773,7347.003418,14,150225.61,177.89,0.03,0.49,-0.11,17.37,553.2405,3.0631,1006.68,2.9909,
2.5,4056.592773,7347.003418,14,150225.72,177.88,0.03,0.49,-0.11,17.37,553.3333,2.9755,1006.78,3.0156,
2.6,4056.592773,7347.003418,14,150225.83,177.87,0.04,0.51,-0.12,17.39,553.5087,3.0683,1006.39,2.9950,
2.7,4056.592773,7347.003418,14,150225.91,177.86,0.07,0.55,-0.14,17.43,553.5299,3.0708,1006.70,2.9909,
2.8,4056.592773,7347.003418,14,150226.02,177.85,0.06,0.54,-0.15,17.43,553.5196,3.0450,1006.50,3.0445,
2.9,4056.592773,7347.003418,14,150226.11,177.85,0.04,0.51,-0.16,17.42,551.8275,3.0941,1006.54,2.9929,
3.0,4056.592773,7347.003418,14,150226.22,177.83,0.02,0.50,-0.15,17.44,551.9512,3.1224,1006.48,2.9826,
3.1,4056.592773,7347.003418,14,150226.31,177.82,0.02,0.50,-0.15,17.46,553.2508,3.0915,1006.49,2.9806,
3.2,4056.592773,7347.003418,14,150226.42,177.81,0.05,0.56,-0.12,17.43,553.3643,3.1121,1006.58,2.9888,
3.3,4056.592773,7347.003418,14,150226.52,177.80,0.00,0.59,-0.09,17.44,553.2720,3.1225,1006.56,3.0218,
3.4,4056.592773,7347.003418,14,150226.61,177.78,0.00,0.62,-0.13,17.46,555.0667,3.1095,1006.46,2.9764,
3.5,4056.592773,7347.003418,14,150226.70,177.77,0.00,0.64,-0.18,17.48,555.2008,3.0734,1006.62,3.0136,
3.6,4056.592773,7347.003418,14,150226.81,177.77,-0.01,0.57,-0.17,17.55,554.3544,3.0296,1006.52,3.0218,
3.7,4056.592773,7347.003418,14,150226.92,177.75,0.03,0.60,-0.18,17.64,554.6122,3.0476,1006.48,2.9620,
3.8,4056.592773,7347.003418,14,150227.02,177.74,0.12,0.63,-0.19,17.64,554.6638,3.1019,1006.60,2.9724,
3.9,4056.592773,7347.003418,14,150227.09,177.74,-0.01,0.59,-0.19,17.61,554.2925,3.1198,1006.54,3.0136,
4.0,4056.592773,7347.003418,14,150227.20,177.73,-0.04,0.56,-0.18,17.65,554.1378,3.0657,1006.61,3.0218,
4.1,4056.592773,7347.003418,14,150227.31,177.73,0.04,0.50,-0.19,17.68,554.4059,3.0347,1006.71,2.9724,
4.2,4056.592773,7347.003418,14,150227.42,177.72,0.13,0.54,-0.19,17.66,553.9934,3.0967,1006.49,2.9723,
4.3,4056.592773,7347.003418,14,150227.52,177.71,0.05,0.55,-0.17,17.66,554.0244,3.0889,1006.72,2.9991,
4.4,4056.592773,7347.003418,14,150227.61,177.69,0.19,0.54,-0.20,17.66,554.0450,3.1070,1006.55,2.9827,
4.5,4056.592773,7347.003418,14,150227.72,177.68,0.12,0.53,-0.20,17.67,554.1894,3.0631,1006.77,2.9888,
4.6,4056.592773,7347.003418,14,150227.83,177.68,-0.03,0.49,-0.18,17.69,554.1481,3.0760,1006.65,3.0094,
4.7,4056.592773,7347.003418,14,150227.91,177.66,-0.03,0.49,-0.18,17.69,554.0656,3.1431,1006.61,2.9909,
