DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  1:09:05 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.1,4059.939209,7351.395996,12,170942.91,127.77,0.58,0.47,-0.10,17.64,415.6310,2.1085,1017.54,2.1641,
1.2,4059.939209,7351.395996,12,170943.00,127.77,0.64,0.51,-0.03,17.62,416.2086,2.0905,1017.62,2.1785,
1.3,4059.939209,7351.395996,12,170943.09,127.77,0.56,0.62,-0.03,17.64,416.3627,2.0338,1017.57,2.1868,
1.4,4059.939209,7351.395996,12,170943.20,127.77,0.48,0.48,-0.03,17.66,415.2804,2.0545,1017.47,2.1765,
1.5,4059.939209,7351.395996,12,170943.30,127.78,0.42,0.42,-0.06,17.69,415.2907,2.0363,1017.70,2.1972,
1.6,4059.939209,7351.395996,12,170943.41,127.78,0.47,0.20,-0.07,17.61,415.1566,2.0338,1017.71,2.1847,
1.7,4059.939209,7351.395996,12,170943.50,127.78,0.58,0.07,0.02,17.59,415.7135,2.0363,1017.61,2.1621,
1.8,4059.939209,7351.395996,12,170943.59,127.79,0.60,0.04,0.05,17.60,415.7135,2.0750,1017.58,2.1950,
1.9,4059.939209,7351.395996,12,170943.70,127.79,0.58,0.07,0.02,17.59,415.1978,2.0673,1017.71,2.1600,
2.0,4059.939209,7351.395996,12,170943.80,127.79,0.40,0.03,-0.06,17.59,415.3828,2.0286,1017.69,2.1971,
2.1,4059.939209,7351.395996,12,170943.89,127.80,0.38,-0.02,-0.21,17.57,415.3835,2.0492,1017.58,2.1950,
2.2,4059.939209,7351.395996,12,170944.00,127.79,0.37,-0.02,-0.12,17.52,416.0436,2.0544,1017.57,2.2363,
2.3,4059.939209,7351.395996,12,170944.09,127.79,0.35,0.20,0.00,17.56,416.0533,2.0853,1017.45,2.2033,
2.4,4059.939209,7351.395996,13,170944.20,127.79,0.31,0.27,0.06,17.60,416.0745,2.0312,1017.55,2.1950,
2.5,4059.939209,7351.395996,13,170944.30,127.80,0.39,0.39,0.04,17.55,415.7342,2.0157,1017.73,2.2157,
2.6,4059.939209,7351.395996,13,170944.41,127.81,0.36,0.37,0.15,17.55,415.7748,2.0853,1017.69,2.1889,
2.7,4059.939209,7351.395996,13,170944.50,127.81,0.35,0.34,0.12,17.57,415.7651,2.0389,1017.66,2.2301,
2.8,4059.939209,7351.395996,13,170944.59,127.81,0.35,0.49,0.07,17.53,415.8786,2.0802,1017.60,2.2074,
2.9,4059.939209,7351.395996,13,170944.70,127.82,0.47,0.66,0.18,17.55,416.0642,2.0802,1017.55,2.1806,
3.0,4059.939209,7351.395996,13,170944.80,127.82,0.61,0.73,0.26,17.55,416.5799,2.0879,1017.70,2.1909,
3.1,4059.939209,7351.395996,13,170944.91,127.82,0.74,0.60,0.12,17.57,416.4252,2.0621,1017.60,2.2364,
3.2,4059.939209,7351.395996,13,170945.00,127.82,0.70,0.51,0.21,17.59,415.7342,2.0389,1017.75,2.2611,
3.3,4059.939209,7351.395996,13,170945.09,127.82,0.79,0.65,0.36,17.63,415.6104,2.0853,1017.77,2.2404,
3.4,4059.939209,7351.395996,12,170945.20,127.82,0.75,0.74,0.25,17.56,415.6104,2.1240,1017.56,2.1992,
3.5,4059.939209,7351.395996,12,170945.30,127.82,0.73,0.93,0.19,17.54,415.6723,2.0492,1017.57,2.2425,
3.6,4059.939209,7351.395996,12,170945.41,127.83,0.72,1.09,0.05,17.54,415.6826,2.0545,1017.66,2.2528,
3.7,4059.939209,7351.395996,12,170945.50,127.84,0.84,0.90,0.33,17.55,416.0739,2.0879,1017.67,2.2260,
3.8,4059.939209,7351.395996,12,170945.59,127.84,0.98,0.93,0.49,17.55,415.8064,2.0853,1017.48,2.2013,
3.9,4059.939209,7351.395996,12,170945.70,127.84,0.63,1.12,0.27,17.54,416.4665,2.0776,1017.55,2.2549,
4.0,4059.939209,7351.395996,12,170945.80,127.84,0.57,1.08,0.26,17.52,416.3427,2.0724,1017.72,2.2549,
4.1,4059.939209,7351.395996,12,170945.89,127.85,0.52,1.23,0.35,17.52,416.3221,2.0699,1017.79,2.2487,
4.2,4059.939209,7351.395996,12,170946.00,127.85,0.58,1.06,0.02,17.50,416.3324,2.0622,1017.76,2.2363,
4.3,4059.939209,7351.395996,12,170946.09,127.86,0.62,0.85,-0.29,17.54,416.3214,2.0492,1017.58,2.2921,
4.4,4059.939209,7351.395996,12,170946.20,127.86,0.61,0.81,-0.40,17.55,416.2911,2.0260,1017.62,2.2322,
4.5,4059.939209,7351.395996,12,170946.30,127.85,0.61,0.81,-0.41,17.55,416.2808,2.0673,1017.55,2.2858,
4.6,4059.939209,7351.395996,12,170946.41,127.85,0.70,0.82,-0.34,17.54,416.2911,2.0441,1017.66,2.2714,
4.7,4059.939209,7351.395996,12,170946.50,127.85,0.92,0.97,-0.47,17.59,416.4246,2.0750,1017.53,2.2239,
4.8,4059.939209,7351.395996,12,170946.59,127.85,1.22,0.97,-0.54,17.60,416.3730,2.0983,1017.47,2.2507,
4.9,4059.939209,7351.395996,12,170946.70,127.84,1.47,1.21,-0.78,17.55,416.3427,2.0648,1017.60,2.2714,
5.0,4059.939209,7351.395996,12,170946.80,127.84,1.31,1.17,-0.74,17.55,416.1261,1.9874,1017.61,2.2941,
5.1,4059.939209,7351.395996,12,170946.91,127.84,1.27,1.10,-0.59,17.54,416.2602,2.0415,1017.49,2.3188,
5.2,4059.939209,7351.395996,12,170947.00,127.84,1.23,0.97,-0.60,17.55,415.7857,2.0518,1017.68,2.2755,
5.3,4059.939209,7351.395996,12,170947.09,127.84,1.16,0.99,-0.56,17.54,415.7954,2.0570,1017.56,2.2838,
5.4,4059.939209,7351.395996,12,170947.20,127.84,1.22,0.82,-0.55,17.54,415.7232,2.0338,1017.71,2.3168,
5.5,4059.939209,7351.395996,12,170947.30,127.85,1.36,0.86,-0.60,17.55,415.7754,2.0776,1017.80,2.2776,
5.6,4059.939209,7351.395996,12,170947.41,127.85,1.30,0.77,-0.65,17.52,416.3730,2.0261,1017.80,2.2838,
5.7,4059.939209,7351.395996,12,170947.50,127.85,1.25,0.78,-0.72,17.57,416.2698,2.0699,1017.66,2.2879,
5.8,4059.939209,7351.395996,12,170947.59,127.84,1.25,0.78,-0.64,17.55,416.1158,2.0931,1017.75,2.2838,
5.9,4059.939209,7351.395996,12,170947.70,127.83,1.25,0.78,-0.64,17.55,416.2499,2.1060,1017.91,2.2631,
6.0,4059.939209,7351.395996,12,170947.80,127.83,1.35,0.69,-0.58,17.55,415.5898,2.0699,1017.84,2.2838,
6.1,4059.939209,7351.395996,12,170947.89,127.83,1.47,0.74,-0.44,17.55,415.5279,2.1111,1017.73,2.2961,
6.2,4059.939209,7351.395996,12,170948.00,127.82,1.88,0.89,-0.32,17.54,416.1880,2.1008,1017.65,2.3086,
6.3,4059.939209,7351.395996,12,170948.09,127.82,1.92,0.94,-0.33,17.54,416.2602,2.1034,1017.67,2.3126,
6.4,4059.939209,7351.395996,12,170948.20,127.81,1.92,0.98,-0.13,17.52,416.3633,2.0699,1017.58,2.2838,
6.5,4059.939209,7351.395996,12,170948.30,127.81,1.84,0.97,-0.21,17.54,416.2189,2.0441,1017.64,2.3044,
6.6,4059.939209,7351.395996,12,170948.41,127.81,1.96,0.97,-0.38,17.54,416.2602,2.0544,1017.66,2.3354,
6.7,4059.939209,7351.395996,12,170948.50,127.82,1.82,0.92,-0.55,17.52,416.4452,2.0260,1017.88,2.3106,
6.8,4059.939209,7351.395996,12,170948.59,127.81,1.85,0.81,-0.36,17.54,416.5387,2.0363,1017.54,2.3085,
6.9,4059.939209,7351.395996,12,170948.70,127.81,1.74,0.78,-0.34,17.50,416.1364,2.0982,1017.62,2.3126,
7.0,4059.939209,7351.395996,12,170948.80,127.81,1.57,0.77,-0.48,17.55,416.3427,2.0906,1017.76,2.3333,
7.1,4059.939209,7351.395996,12,170948.91,127.80,1.77,0.72,-0.23,17.59,416.0745,2.0957,1017.78,2.3064,
7.2,4059.939209,7351.395996,12,170949.00,127.79,1.85,0.77,-0.31,17.57,416.5387,2.0931,1017.78,2.3415,
7.3,4059.939209,7351.395996,12,170949.09,127.79,1.92,0.64,-0.07,17.59,416.5902,2.0879,1017.76,2.3044,
7.4,4059.939209,7351.395996,12,170949.20,127.79,1.72,0.67,-0.27,17.55,415.7961,2.1008,1017.70,2.3353,
7.5,4059.939209,7351.395996,12,170949.30,127.79,1.72,0.59,-0.21,17.54,415.7651,2.0363,1017.72,2.3209,
7.6,4059.939209,7351.395996,12,170949.41,127.78,1.61,0.65,-0.17,17.54,415.7857,2.0699,1017.85,2.3498,
7.7,4059.939209,7351.395996,12,170949.50,127.78,1.70,0.63,-0.02,17.54,415.7335,2.0312,1017.81,2.3147,
