DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  5:40:39 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.9,4057.342041,7347.379883,11,214117.13,250.39,-0.02,-0.00,0.08,16.65,471.3814,2.9883,1013.78,3.1664,
1.0,4057.342041,7347.379883,11,214117.22,250.39,0.00,-0.02,0.09,16.64,471.1958,2.9806,1013.84,3.1767,
1.1,4057.342041,7347.379883,11,214117.31,250.40,0.01,0.01,0.06,16.64,471.4530,2.9780,1013.69,3.1107,
1.2,4057.342041,7347.379883,11,214117.42,250.40,0.05,0.04,0.06,16.62,471.3395,2.9805,1013.76,3.1396,
1.3,4057.342041,7347.379883,11,214117.52,250.41,0.04,0.04,0.06,16.62,471.4949,2.9857,1013.66,3.1705,
1.4,4057.342041,7347.379883,11,214117.63,250.41,0.00,0.03,0.08,16.65,471.4640,3.0167,1013.78,3.3273,
1.5,4057.342041,7347.379883,11,214117.72,250.42,0.01,0.03,0.08,16.65,470.9894,2.4260,1013.68,3.3397,
1.6,4057.342041,7347.379883,11,214117.81,250.42,0.05,0.04,0.06,16.62,469.3078,2.3899,1013.76,3.3128,
1.7,4057.342041,7347.379883,11,214117.94,250.43,0.04,0.04,0.06,16.63,469.5141,2.3486,1013.65,3.2985,
1.8,4057.342041,7347.379883,11,214118.03,250.43,0.00,0.02,0.08,16.65,468.3690,2.3434,1013.84,3.3128,
1.9,4057.342041,7347.379883,11,214118.11,250.43,0.01,0.00,0.06,16.64,468.3999,2.3770,1013.74,3.3397,
2.0,4057.342041,7347.379883,11,214118.22,250.44,0.03,0.00,0.04,16.65,468.0492,2.3796,1013.61,3.3335,
2.1,4057.342041,7347.379883,11,214118.31,250.45,0.03,-0.00,0.04,16.66,468.4102,2.3718,1013.88,3.3108,
2.2,4057.342041,7347.379883,11,214118.44,250.46,0.05,-0.01,0.06,16.69,467.3167,2.3512,1013.74,3.3066,
2.3,4057.342041,7347.379883,11,214118.53,250.47,0.03,0.01,0.08,16.66,467.4199,2.3563,1013.74,3.3190,
2.4,4057.342041,7347.379883,11,214118.63,250.47,0.01,0.00,0.08,16.63,467.2954,2.3202,1013.89,3.4779,
2.5,4057.342041,7347.379883,11,214118.72,250.47,0.01,0.01,0.06,16.64,467.0484,2.2868,1013.83,3.4902,
2.6,4057.342041,7347.379883,11,214118.81,250.49,0.03,0.05,0.04,16.60,466.9659,2.3434,1013.65,3.5006,
2.7,4057.342041,7347.379883,11,214118.92,250.49,0.06,0.02,0.05,16.61,466.9962,2.3331,1013.64,3.4614,
2.8,4057.342041,7347.379883,11,214119.02,250.48,0.04,0.00,0.05,16.58,465.8827,2.2790,1013.65,3.5150,
2.9,4057.342041,7347.379883,11,214119.13,250.49,0.03,-0.00,0.04,16.55,466.0580,2.2816,1013.77,3.4758,
3.0,4057.342041,7347.379883,11,214119.22,250.49,0.05,0.00,0.05,16.54,466.0890,2.3358,1013.88,3.5047,
3.1,4057.342041,7347.379883,11,214119.31,250.50,0.04,0.06,0.03,16.50,466.2644,2.2712,1013.78,3.5006,
3.2,4057.342041,7347.379883,11,214119.42,250.51,0.06,0.00,0.07,16.50,466.0787,2.2790,1013.83,3.4821,
3.3,4057.342041,7347.379883,11,214119.52,250.51,0.04,0.00,0.05,16.50,466.1406,2.2944,1013.86,3.5089,
3.4,4057.342041,7347.379883,11,214119.63,250.52,0.03,0.00,0.04,16.50,466.2953,2.3151,1013.67,3.6244,
3.5,4057.342041,7347.379883,11,214119.72,250.51,0.05,0.00,0.03,16.49,467.0484,2.2764,1013.96,3.6635,
3.6,4057.342041,7347.379883,11,214119.81,250.53,0.04,-0.01,0.03,16.45,468.1730,2.3228,1013.62,3.6780,
3.7,4057.342041,7347.379883,11,214119.94,250.53,0.06,-0.03,0.01,16.47,467.9770,2.3073,1013.90,3.7069,
3.8,4057.342041,7347.379883,11,214120.03,250.52,0.03,-0.02,0.00,16.47,468.4928,2.2996,1013.74,3.6574,
3.9,4057.342041,7347.379883,11,214120.11,250.53,0.07,-0.02,0.00,16.45,468.3690,2.3383,1013.90,3.6553,
4.0,4057.342041,7347.379883,11,214120.22,250.53,0.10,-0.00,0.00,16.45,468.5850,2.2996,1013.73,3.6800,
4.1,4057.342041,7347.379883,11,214120.31,250.53,0.07,-0.03,0.00,16.44,473.4964,3.0244,1013.86,3.6862,
4.2,4057.342041,7347.379883,11,214120.44,250.54,0.10,-0.05,0.00,16.49,473.5789,3.8188,1013.84,3.6945,
4.3,4057.342041,7347.379883,11,214120.53,250.54,0.06,-0.03,0.00,16.45,478.7269,4.0149,1013.90,3.8842,
4.4,4057.342041,7347.379883,11,214120.63,250.54,0.07,-0.06,0.00,16.48,478.5619,3.9968,1013.73,3.8512,
4.5,4057.342041,7347.379883,11,214120.72,250.55,0.10,-0.05,0.00,16.49,481.0785,4.4301,1013.69,3.8739,
