DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016, 11:43:06 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.6,4108.290039,7351.449219,10,154343.75,45.65,0.21,0.13,0.15,8.17,432.0321,2.0699,1023.03,1.9989,
1.7,4108.290039,7351.449219,10,154343.84,45.65,0.19,0.13,0.16,8.24,432.0830,2.0802,1022.82,2.0504,
1.8,4108.290039,7351.449219,10,154343.95,45.65,0.12,0.11,0.17,8.31,432.0218,2.1008,1022.71,2.0154,
1.9,4108.290039,7351.449219,10,154344.05,45.65,0.13,0.12,0.17,8.32,432.0630,2.0854,1022.91,2.0277,
2.0,4108.290039,7351.449219,10,154344.14,45.65,0.16,0.14,0.17,8.29,432.3415,2.0415,1023.09,2.0566,
2.1,4108.290039,7351.449219,10,154344.25,45.65,0.14,0.14,0.18,8.31,432.3518,2.0750,1022.98,2.0092,
2.2,4108.290039,7351.449219,10,154344.34,45.65,0.11,0.11,0.18,8.32,432.2074,2.0905,1022.78,2.0216,
2.3,4108.290039,7351.449219,10,154344.45,45.66,0.10,0.09,0.17,8.30,432.2796,2.0338,1023.04,2.0154,
2.4,4108.290039,7351.449219,10,154344.55,45.66,0.10,0.08,0.18,8.36,432.1765,2.0415,1022.91,2.0236,
2.5,4108.290039,7351.449219,10,154344.64,45.66,0.09,0.07,0.17,8.41,431.8773,2.1009,1022.98,2.0422,
2.6,4108.290039,7351.449219,10,154344.73,45.66,0.08,0.06,0.15,8.44,431.9495,2.1085,1023.16,2.0504,
2.7,4108.290039,7351.449219,10,154344.84,45.66,0.06,0.08,0.14,8.56,432.1352,2.0209,1022.90,2.0154,
2.8,4108.290039,7351.449219,10,154344.95,45.66,0.07,0.09,0.14,8.59,432.1455,2.0312,1022.87,2.0113,
2.9,4108.290039,7351.449219,10,154345.05,45.66,0.09,0.06,0.16,8.51,432.0011,2.0750,1022.97,2.0339,
3.0,4108.290039,7351.449219,10,154345.14,45.66,0.09,0.06,0.17,8.46,432.0830,2.0776,1022.92,2.0319,
3.1,4108.290039,7351.449219,10,154345.25,45.65,0.07,0.04,0.15,8.38,432.1552,2.0054,1022.95,2.0361,
3.2,4108.290039,7351.449219,10,154345.34,45.65,0.07,0.01,0.14,8.37,432.0830,2.1034,1023.04,2.0195,
3.3,4108.290039,7351.449219,10,154345.45,45.65,0.07,0.04,0.11,8.41,431.9908,2.0879,1022.88,2.0319,
3.4,4108.290039,7351.449219,10,154345.55,45.65,0.07,0.06,0.08,8.44,432.0011,2.0879,1022.89,2.0133,
3.5,4108.290039,7351.449219,10,154345.64,45.65,0.08,0.06,0.08,8.45,431.8979,2.1189,1022.94,1.9927,
3.6,4108.290039,7351.449219,10,154345.75,45.65,0.11,0.05,0.08,8.45,431.9908,2.1163,1022.92,1.9968,
3.7,4108.290039,7351.449219,10,154345.84,45.65,0.10,0.02,0.08,8.44,433.3112,2.0750,1023.01,1.9927,
3.8,4108.290039,7351.449219,10,154345.95,45.65,0.04,0.04,0.07,8.51,433.2803,2.0545,1022.87,2.0154,
3.9,4108.290039,7351.449219,10,154346.05,45.65,0.02,0.06,0.06,8.49,434.0127,2.0312,1022.83,2.0072,
4.0,4108.290039,7351.449219,10,154346.14,45.65,0.06,0.05,0.04,8.33,433.7748,2.0905,1023.06,2.0154,
4.1,4108.290039,7351.449219,10,154346.25,45.65,0.06,0.04,0.03,8.21,433.8476,2.1035,1022.88,2.0050,
4.2,4108.290039,7351.449219,10,154346.34,45.64,0.04,0.08,0.05,8.16,434.3325,2.0131,1022.88,2.0236,
4.3,4108.290039,7351.449219,10,154346.45,45.64,0.02,0.11,0.05,8.16,434.2912,2.0647,1022.92,2.0195,
4.4,4108.290039,7351.449219,10,154346.55,45.64,-0.00,0.14,0.04,8.18,433.4350,2.0931,1023.07,1.9906,
4.5,4108.290039,7351.449219,10,154346.64,45.64,0.02,0.13,0.05,8.18,433.1565,2.0647,1022.91,2.0566,
4.6,4108.290039,7351.449219,10,154346.73,45.64,0.05,0.10,0.06,8.15,433.3003,2.0879,1023.01,2.0257,
4.7,4108.290039,7351.449219,10,154346.84,45.64,0.04,0.09,0.04,8.14,432.5472,2.0647,1023.05,2.0401,
4.8,4108.290039,7351.449219,10,154346.95,45.65,0.03,0.05,0.01,8.12,432.5575,2.0467,1022.92,2.0072,
4.9,4108.290039,7351.449219,10,154347.05,45.65,0.08,0.01,0.00,8.12,431.8045,2.0389,1022.74,2.0257,
5.0,4108.290039,7351.449219,10,154347.14,45.65,0.09,0.00,0.00,8.11,431.6194,2.0286,1023.04,2.0257,
