DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/3/2016, 10:05:22 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.6,4056.366699,7347.912598,10,140601.70,350.51,0.02,-0.17,-0.18,15.69,759.7436,3.2561,1009.06,3.3748,
1.7,4056.366699,7347.912598,10,140601.80,350.52,0.06,-0.18,-0.19,15.67,759.6198,3.2870,1009.07,3.3727,
1.8,4056.366699,7347.912598,10,140601.91,350.53,0.07,-0.22,-0.23,15.71,759.6920,3.2922,1008.97,3.3459,
1.9,4056.366699,7347.912598,10,140602.00,350.54,0.01,-0.25,-0.24,15.72,759.8261,3.2716,1008.97,3.3150,
2.0,4056.366699,7347.912598,10,140602.09,350.56,-0.01,-0.37,-0.20,15.89,759.8571,3.2820,1008.94,3.3624,
2.1,4056.366699,7347.912598,10,140602.19,350.57,-0.01,-0.39,-0.19,16.13,759.5883,3.2742,1008.98,3.3707,
2.2,4056.366699,7347.912598,10,140602.30,350.58,-0.07,-0.39,-0.15,16.23,759.6095,3.2948,1008.90,3.3129,
2.3,4056.366699,7347.912598,10,140602.41,350.59,-0.06,-0.27,-0.08,16.25,759.7635,3.2845,1009.04,3.3294,
2.4,4056.366699,7347.912598,10,140602.50,350.60,-0.01,-0.26,-0.08,16.19,759.6404,3.2896,1008.80,3.3542,
2.5,4056.366699,7347.912598,10,140602.59,350.61,-0.00,-0.21,-0.07,16.20,759.8571,3.2793,1008.93,3.3232,
2.6,4056.366699,7347.912598,10,140602.69,350.62,-0.06,-0.22,-0.03,16.20,759.5992,3.2741,1008.89,3.3212,
2.7,4056.366699,7347.912598,10,140602.80,350.63,-0.07,-0.22,-0.02,16.20,759.6920,3.3051,1008.91,3.3562,
2.8,4056.366699,7347.912598,10,140602.91,350.64,-0.10,-0.18,-0.04,16.18,759.6404,3.3180,1008.94,3.3150,
2.9,4056.366699,7347.912598,10,140603.00,350.65,-0.10,-0.17,0.01,16.20,759.6198,3.2741,1008.82,3.3067,
3.0,4056.366699,7347.912598,10,140603.09,350.67,-0.07,-0.20,0.03,16.14,759.5470,3.3025,1009.00,3.3356,
3.1,4056.366699,7347.912598,10,140603.20,350.67,-0.07,-0.21,0.03,16.09,759.5786,3.3284,1009.00,3.3460,
3.2,4056.366699,7347.912598,10,140603.30,350.69,-0.07,-0.21,0.03,16.08,759.7023,3.2767,1009.04,3.3645,
3.3,4056.366699,7347.912598,10,140603.41,350.70,-0.07,-0.21,0.03,16.08,759.9808,3.3103,1008.98,3.3562,
3.4,4056.366699,7347.912598,10,140603.50,350.71,-0.05,-0.16,0.06,16.05,772.6873,3.2974,1009.06,3.3047,
3.5,4056.366699,7347.912598,10,140603.59,350.72,-0.05,-0.16,0.05,15.90,772.7795,3.2690,1008.98,3.3831,
3.6,4056.366699,7347.912598,10,140603.70,350.73,-0.00,-0.14,0.05,15.78,772.7079,3.2870,1008.95,3.3604,
3.7,4056.366699,7347.912598,10,140603.80,350.75,0.00,-0.10,0.08,15.80,798.9459,3.3257,1008.96,3.3397,
3.8,4056.366699,7347.912598,10,140603.91,350.76,-0.01,-0.10,0.11,15.78,798.9666,3.2999,1008.93,3.3254,
3.9,4056.366699,7347.912598,10,140604.00,350.78,-0.01,-0.10,0.11,15.77,772.8110,3.2845,1008.99,3.3357,
4.0,4056.366699,7347.912598,10,140604.09,350.78,-0.00,-0.15,0.14,15.76,772.9142,3.3078,1008.94,3.3604,
4.1,4056.366699,7347.912598,10,140604.19,350.78,-0.01,-0.21,0.13,15.80,757.5983,3.2793,1008.86,3.3377,
4.2,4056.366699,7347.912598,10,140604.30,350.80,0.03,-0.14,0.11,15.82,742.2206,3.2406,1008.94,3.3356,
4.3,4056.366699,7347.912598,10,140604.41,350.81,0.03,-0.14,0.11,15.88,732.4426,3.2793,1008.89,3.3212,
4.4,4056.366699,7347.912598,10,140604.50,350.82,0.03,-0.08,0.11,15.89,732.4432,3.2432,1009.01,3.3068,
4.5,4056.366699,7347.912598,10,140604.59,350.84,-0.01,-0.12,0.11,15.87,732.5767,3.2845,1009.04,3.3357,
4.6,4056.366699,7347.912598,10,140604.69,350.85,0.01,-0.10,0.15,15.87,740.3229,3.2638,1009.08,3.3253,
4.7,4056.366699,7347.912598,10,140604.80,350.85,-0.01,-0.18,0.11,15.83,740.3229,3.2509,1009.01,3.3315,
4.8,4056.366699,7347.912598,10,140604.91,350.86,-0.00,-0.14,0.06,15.88,789.9214,3.2535,1008.87,3.3232,
4.9,4056.366699,7347.912598,10,140605.00,350.88,-0.01,-0.16,0.09,15.93,790.2103,3.2432,1008.90,3.3439,
5.0,4056.366699,7347.912598,10,140605.09,350.89,0.00,-0.14,0.12,15.96,790.0245,3.2819,1009.04,3.3604,
5.1,4056.366699,7347.912598,10,140605.20,350.91,0.00,-0.14,0.13,15.96,799.0897,3.3154,1008.89,3.3562,
5.2,4056.366699,7347.912598,10,140605.30,350.92,0.03,-0.14,0.11,15.94,799.1006,3.2252,1008.89,3.3232,
5.3,4056.366699,7347.912598,10,140605.41,350.93,0.00,-0.16,0.08,15.90,799.0388,3.2458,1009.01,3.3480,
