DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016, 12:58:53 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.9,4108.176758,7351.490234,8,165930.17,187.58,-0.06,1.60,0.08,11.54,423.9293,2.1550,1022.26,2.7277,
1.0,4108.176758,7351.490234,8,165930.27,187.28,-0.03,1.69,0.05,11.53,424.1357,2.1421,1022.58,2.7813,
1.1,4108.176758,7351.490234,8,165930.36,186.98,-0.03,1.74,0.10,11.50,423.9500,2.1575,1022.30,2.7503,
1.2,4108.176758,7351.490234,8,165930.47,186.64,-0.03,1.75,0.09,11.51,424.2904,2.1137,1022.48,2.7380,
1.3,4108.176758,7351.490234,8,165930.56,186.25,-0.02,1.77,0.09,11.53,424.0531,2.1163,1022.24,2.7483,
1.4,4108.176758,7351.490234,8,165930.67,185.87,-0.02,1.78,0.13,11.57,424.2388,2.1343,1022.53,2.7587,
1.5,4108.176270,7351.490234,8,165930.77,185.53,0.01,1.78,0.19,11.57,424.2801,2.1292,1022.22,2.7360,
1.6,4108.176270,7351.490234,8,165930.88,185.15,0.01,1.82,0.14,11.56,424.0944,2.1627,1022.51,2.7503,
1.7,4108.176270,7351.490234,8,165930.98,184.78,-0.01,1.86,0.08,11.61,423.9912,2.1395,1022.41,2.7503,
1.8,4108.176270,7351.490234,8,165931.06,184.46,0.02,1.81,0.09,11.61,423.9500,2.1601,1022.37,2.7648,
1.9,4108.176270,7351.490234,8,165931.16,184.14,0.09,1.78,0.05,11.57,424.4245,2.1111,1022.50,2.8741,
2.0,4108.176270,7351.490234,8,165931.27,183.78,0.13,1.73,0.00,11.55,424.2704,2.0982,1022.56,2.8432,
2.1,4108.176270,7351.490234,8,165931.38,183.44,0.14,1.68,-0.01,11.60,423.8674,2.0880,1022.26,2.8288,
