DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016,  2:51:01 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.0,4106.490723,7347.286621,12,185138.39,110.55,0.90,-0.11,0.26,13.03,423.1931,2.0699,1011.64,2.0383,
1.1,4106.490723,7347.286621,12,185138.48,110.56,0.83,-0.11,0.24,13.03,423.4200,2.0261,1011.43,2.0073,
1.2,4106.490723,7347.286621,12,185138.56,110.57,0.73,-0.24,0.14,12.95,423.5437,2.0647,1011.58,2.0693,
1.3,4106.490723,7347.286621,12,185138.67,110.60,0.71,-0.26,0.20,12.91,423.4509,2.0364,1011.45,2.0465,
1.4,4106.490723,7347.286621,12,185138.78,110.62,0.70,-0.37,0.13,12.90,423.8119,2.0570,1011.54,2.0424,
1.5,4106.490723,7347.286621,12,185138.88,110.63,0.67,-0.34,0.12,12.90,423.9460,2.0390,1011.45,2.0445,
1.6,4106.490723,7347.286621,12,185138.98,110.65,0.79,-0.27,0.11,12.91,422.5440,2.0441,1011.50,2.0486,
1.7,4106.490723,7347.286621,12,185139.08,110.66,0.99,-0.35,0.14,12.93,422.5021,2.0699,1011.67,2.0466,
1.8,4106.490723,7347.286621,12,185139.20,110.68,1.12,-0.36,0.28,12.77,422.4196,2.0518,1011.80,2.0383,
1.9,4106.490723,7347.286621,12,185139.28,110.69,1.19,-0.41,0.24,12.68,422.3371,2.0415,1011.65,2.0754,
2.0,4106.490723,7347.286621,12,185139.38,110.70,1.15,-0.49,0.34,12.64,423.4303,2.0544,1011.66,2.0321,
2.1,4106.490723,7347.286621,12,185139.48,110.71,1.09,-0.39,0.49,12.70,423.4825,2.0931,1011.42,2.0238,
2.2,4106.490723,7347.286621,12,185139.58,110.73,1.20,-0.30,0.57,12.74,422.4608,2.0415,1011.69,2.0568,
2.3,4106.490723,7347.286621,12,185139.69,110.74,1.24,-0.25,0.56,12.75,422.7606,2.0261,1011.71,2.0651,
2.4,4106.490723,7347.286621,12,185139.78,110.75,1.17,-0.06,0.40,12.85,423.1931,2.0286,1011.71,2.0300,
2.5,4106.490723,7347.286621,12,185139.89,110.76,1.04,0.06,0.35,13.00,422.8534,2.0622,1011.62,2.0403,
