DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  8:41:15 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.1,4101.239746,7345.977539,13,124152.63,219.21,-0.39,0.31,0.02,11.62,447.0471,3.4413,1015.02,3.7238,
1.2,4101.239746,7345.977539,13,124152.71,219.21,-0.42,0.36,-0.01,11.64,446.9652,3.5109,1014.86,3.7609,
1.3,4101.239746,7345.977539,13,124152.80,219.21,-0.42,0.36,-0.01,11.64,447.0064,3.4826,1014.96,3.7032,
1.4,4101.239746,7345.977539,13,124152.91,219.20,-0.42,0.36,-0.01,11.64,447.6356,3.4826,1015.00,3.7403,
1.5,4101.239746,7345.977539,13,124153.02,219.20,-0.42,0.36,-0.01,11.64,447.3984,3.4543,1014.97,3.7424,
1.6,4101.239746,7345.977539,13,124153.11,219.20,-0.42,0.36,-0.01,11.64,447.3674,3.4929,1014.91,3.5959,
1.7,4101.239746,7345.977539,13,124153.21,219.20,-0.42,0.36,-0.01,11.64,447.2333,3.4697,1014.97,3.5898,
1.8,4101.239746,7345.977539,13,124153.30,219.20,-0.42,0.35,-0.02,11.63,447.2643,3.4697,1014.96,3.6000,
1.9,4101.239746,7345.977539,13,124153.42,219.20,-0.44,0.36,-0.02,11.70,447.1199,3.4284,1014.92,3.6062,
2.0,4101.239746,7345.977539,13,124153.50,219.20,-0.48,0.36,0.02,12.23,446.3154,3.4207,1014.94,3.6145,
2.1,4101.239746,7345.977539,13,124153.61,219.20,-0.43,0.27,0.08,12.97,446.2632,3.3859,1015.04,3.6145,
2.2,4101.239746,7345.977539,13,124153.71,219.20,-0.44,0.31,0.04,12.73,446.1497,3.4310,1014.80,3.5938,
2.3,4101.239746,7345.977539,13,124153.80,219.20,-0.46,0.30,0.03,12.49,446.2116,3.3937,1015.13,3.6434,
2.4,4101.239746,7345.977539,13,124153.91,219.20,-0.45,0.28,-0.03,11.90,446.3257,3.3459,1014.99,3.6330,
2.5,4101.239746,7345.977539,13,124154.02,219.20,-0.42,0.31,-0.05,11.66,446.5114,3.2840,1014.91,3.6042,
2.6,4101.239746,7345.977539,13,124154.13,219.20,-0.40,0.33,-0.03,11.66,446.5010,3.2943,1015.01,3.5361,
2.7,4101.239746,7345.977539,13,124154.23,219.20,-0.39,0.32,-0.03,11.87,448.4710,3.3124,1015.02,3.5299,
2.8,4101.239746,7345.977539,13,124154.30,219.20,-0.38,0.33,-0.03,12.48,448.2957,3.3072,1014.97,3.5051,
2.9,4101.239746,7345.977539,13,124154.41,219.20,-0.44,0.33,0.04,13.75,448.3473,3.3202,1014.89,3.5092,
3.0,4101.239746,7345.977539,13,124154.50,219.20,-0.49,0.29,0.11,14.76,448.3163,3.3304,1015.07,3.5072,
3.1,4101.239746,7345.977539,13,124154.63,219.20,-0.52,0.30,0.10,15.25,450.9773,3.2943,1014.99,3.5340,
3.2,4101.239746,7345.977539,13,124154.72,219.19,-0.50,0.36,0.07,14.96,450.9148,3.3924,1015.17,3.5237,
3.3,4101.239746,7345.977539,13,124154.81,219.20,-0.50,0.36,0.07,13.72,450.8433,3.3691,1015.09,3.4804,
3.4,4101.239746,7345.977539,13,124154.91,219.20,-0.59,0.31,0.05,13.29,449.8634,3.2531,1014.82,3.5031,
3.5,4101.239746,7345.977051,13,124155.02,219.21,-0.63,0.33,-0.02,12.28,449.8937,3.2763,1014.83,3.4061,
