DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016, 12:47:18 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.7,4100.052246,7351.286133,13,164756.48,229.19,-0.68,-0.26,0.29,18.99,434.2406,3.5838,1017.57,3.4941,
0.8,4100.052246,7351.286133,13,164756.61,229.17,-0.65,-0.25,0.18,18.72,434.0453,3.6251,1017.53,3.5065,
0.9,4100.052246,7351.286133,13,164756.70,229.16,-0.72,-0.17,0.01,18.69,434.2200,3.6019,1017.67,3.5106,
1.0,4100.052246,7351.286133,13,164756.81,229.14,-0.81,-0.37,-0.32,18.66,434.1787,3.6328,1017.68,3.5457,
1.1,4100.052246,7351.286133,13,164756.91,229.13,-0.70,-0.26,-0.19,18.72,434.0240,3.5864,1017.73,3.5189,
1.2,4100.052246,7351.286133,13,164757.00,229.12,-0.76,-0.11,-0.13,18.76,434.0865,3.6071,1017.41,3.5004,
1.3,4100.052246,7351.286133,13,164757.09,229.11,-0.54,0.01,0.04,18.82,433.7764,3.3620,1017.47,3.5189,
1.4,4100.052246,7351.286133,13,164757.20,229.10,-0.57,-0.14,0.13,18.98,434.0137,3.3518,1017.65,3.5251,
1.5,4100.052246,7351.286133,13,164757.31,229.09,-0.71,-0.46,-0.19,19.14,434.1272,3.3800,1017.42,3.5107,
1.6,4100.052246,7351.286133,13,164757.42,229.08,-0.65,-0.68,-0.15,19.11,432.0957,3.3298,1017.57,3.5312,
1.7,4100.052246,7351.286133,13,164757.50,229.07,-0.44,-0.76,-0.01,19.38,432.2292,3.3208,1017.46,3.5312,
1.8,4100.052246,7351.286133,13,164757.59,229.06,-0.38,-0.82,-0.12,19.29,432.0126,3.3517,1017.75,3.5251,
1.9,4100.052246,7351.286133,13,164757.70,229.05,-0.45,-0.92,-0.14,19.44,432.0848,3.3375,1017.37,3.5312,
2.0,4100.052246,7351.286133,13,164757.81,229.04,-0.60,-0.81,0.08,20.12,430.6097,3.2562,1017.46,3.5519,
2.1,4100.052246,7351.286133,14,164757.91,229.03,-0.48,-0.62,0.12,20.17,430.3216,3.2691,1017.51,3.5436,
2.2,4100.052246,7351.286133,13,164758.00,229.03,-0.50,-0.52,0.02,20.09,430.4447,3.2279,1017.50,3.5642,
2.3,4100.052246,7351.286133,13,164758.11,229.02,-0.70,-0.42,0.10,19.93,430.3415,3.2512,1017.55,3.5436,
2.4,4100.052246,7351.286133,13,164758.20,229.02,-0.85,-0.43,-0.14,19.24,430.4653,3.2227,1017.50,3.5395,
2.5,4100.052246,7351.286133,13,164758.30,229.00,-0.94,-0.43,-0.26,18.86,430.3415,3.2434,1017.38,3.5498,
2.6,4100.052246,7351.286133,13,164758.41,228.99,-0.93,-0.26,-0.45,18.86,430.3209,3.2227,1017.51,3.5086,
2.7,4100.052246,7351.286133,13,164758.50,228.98,-0.94,-0.30,-0.64,18.96,430.3731,3.2409,1017.64,3.5601,
2.8,4100.052246,7351.286133,13,164758.61,228.98,-0.93,-0.59,-0.51,18.77,430.2899,3.2588,1017.55,3.5416,
2.9,4100.052246,7351.286133,13,164758.70,228.97,-1.01,-0.81,-0.37,18.68,430.2177,3.2279,1017.43,3.5272,
3.0,4100.052246,7351.286133,13,164758.81,228.96,-0.95,-1.09,-0.52,18.61,445.0102,3.3156,1017.38,3.5581,
3.1,4100.052246,7351.286133,13,164758.91,228.95,-1.18,-1.34,-0.53,18.55,442.3173,3.2588,1017.51,3.5354,
3.2,4100.052246,7351.286133,13,164759.00,228.94,-0.95,-1.80,-0.61,18.52,442.1316,3.3336,1017.81,3.5065,
3.3,4100.052246,7351.286133,13,164759.09,228.93,-0.94,-1.56,-0.73,18.57,442.3282,3.3104,1017.62,3.5272,
3.4,4100.052246,7351.286133,13,164759.20,228.92,-0.81,-1.76,-0.50,18.57,441.3786,3.2408,1017.49,3.5498,
3.5,4100.052246,7351.286133,13,164759.31,228.92,-0.78,-1.55,-0.33,18.57,441.3374,3.2588,1017.74,3.5395,
3.6,4100.052246,7351.286133,13,164759.42,228.91,-0.90,-1.48,-0.22,18.55,440.8216,3.2743,1017.73,3.5477,
3.7,4100.052246,7351.286133,13,164759.50,228.90,-0.99,-1.80,-0.98,18.51,440.8635,3.2280,1017.64,3.5704,
3.8,4100.052246,7351.286133,13,164759.59,228.89,-0.97,-1.71,-1.29,18.48,440.7913,3.2356,1017.69,3.5210,
3.9,4100.052246,7351.286133,13,164759.70,228.87,-1.02,-1.64,-1.04,18.52,440.8016,3.2227,1017.63,3.6014,
4.0,4100.052246,7351.286133,13,164759.81,228.85,-0.71,-1.31,-0.71,18.51,440.6469,3.2021,1017.78,3.5581,
4.1,4100.052246,7351.286133,13,164759.91,228.85,-0.80,-1.02,-0.52,18.50,445.8141,3.3260,1017.60,3.5396,
4.2,4100.052246,7351.286133,13,164800.00,228.84,-0.97,-0.65,-1.14,18.64,445.8972,3.3389,1017.55,3.5704,
4.3,4100.052246,7351.286133,13,164800.11,228.84,-0.94,-0.95,-1.14,18.59,445.8141,3.3595,1017.54,3.5869,
4.4,4100.052246,7351.286133,13,164800.20,228.83,-1.05,-0.71,-0.96,18.71,451.0651,3.5528,1017.59,3.5766,
4.5,4100.052246,7351.286133,13,164800.30,228.82,-1.13,-0.33,-0.87,18.59,451.0335,3.5090,1017.48,3.5664,
4.6,4100.052246,7351.286133,14,164800.41,228.81,-0.89,-0.22,-0.76,18.62,451.8174,3.8082,1017.66,3.5684,
4.7,4100.052246,7351.286133,14,164800.50,228.81,-0.87,-0.28,-0.66,18.63,451.7968,3.8186,1017.49,3.5437,
4.8,4100.052246,7351.286133,13,164800.61,228.79,-1.03,-0.48,-0.60,18.72,451.9212,3.7850,1017.53,3.5333,
4.9,4100.052246,7351.286133,13,164800.70,228.79,-1.22,-0.62,-0.59,18.75,452.5504,3.9423,1017.51,3.5931,
5.0,4100.052246,7351.286133,13,164800.81,228.77,-1.46,-0.55,-0.53,18.68,452.6536,3.9552,1017.53,3.5684,
5.1,4100.052246,7351.286133,13,164800.91,228.76,-1.55,-0.43,-0.46,18.69,452.4570,3.9500,1017.51,3.6014,
5.2,4100.052246,7351.286133,13,164801.00,228.74,-1.39,-0.45,-0.41,18.68,452.7258,3.9191,1017.53,3.5519,
