DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/3/2016,  8:59:31 AM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.1,4058.200439,7351.799805,12,130010.15,285.40,-0.25,0.44,0.13,14.10,680.5856,12.3091,1008.05,6.8785,
1.2,4058.200439,7351.799805,12,130010.24,285.41,-0.27,0.40,0.17,14.09,680.4817,12.3234,1008.19,6.8671,
1.3,4058.200439,7351.799805,12,130010.34,285.41,-0.29,0.37,0.14,14.01,679.8324,13.1163,1008.26,6.8464,
1.4,4058.200439,7351.799805,12,130010.45,285.40,-0.23,0.37,0.03,13.78,679.9975,13.1433,1008.27,6.8568,
1.5,4058.200439,7351.799805,12,130010.54,285.41,-0.20,0.39,0.03,13.75,679.9659,13.1086,1008.25,6.8506,
1.6,4058.200439,7351.799805,12,130010.64,285.41,-0.20,0.39,0.04,13.74,679.1515,12.8623,1008.20,6.8537,
1.7,4058.200439,7351.799805,12,130010.74,285.41,-0.21,0.37,0.02,13.76,679.0586,12.8649,1008.13,6.8517,
1.8,4058.200439,7351.799805,12,130010.85,285.42,-0.21,0.37,0.02,13.76,679.7492,12.8417,1008.18,6.9239,
1.9,4058.200439,7351.799805,12,130010.95,285.42,-0.21,0.37,0.02,13.76,679.6357,12.8546,1008.18,6.9310,
2.0,4058.200439,7351.799805,12,130011.04,285.42,-0.21,0.37,0.02,13.76,679.6157,12.8480,1008.31,6.9342,
2.1,4058.200439,7351.799805,12,130011.14,285.42,-0.22,0.38,0.01,13.76,680.4514,12.1763,1008.03,6.9269,
2.2,4058.200439,7351.799805,12,130011.24,285.42,-0.25,0.39,-0.01,13.78,680.2038,12.1545,1008.14,6.9383,
2.3,4058.200439,7351.799805,12,130011.34,285.42,-0.25,0.39,-0.01,13.78,680.3173,12.1738,1008.27,6.9156,
2.4,4058.200439,7351.799805,12,130011.45,285.42,-0.27,0.39,-0.02,13.78,680.3276,12.1751,1008.00,6.9197,
2.5,4058.200439,7351.799805,12,130011.55,285.42,-0.29,0.38,-0.06,13.78,680.3070,12.1944,1008.01,6.9425,
2.6,4058.200439,7351.799805,12,130011.65,285.42,-0.28,0.40,-0.07,13.79,680.1213,12.1596,1008.17,6.9280,
2.7,4058.200439,7351.799805,12,130011.74,285.42,-0.32,0.42,-0.07,13.80,680.2244,12.1867,1008.17,6.9363,
2.8,4058.200439,7351.799805,12,130011.84,285.42,-0.29,0.38,-0.06,13.84,682.9172,10.1678,1007.98,7.0116,
2.9,4058.200439,7351.799805,12,130011.95,285.42,-0.26,0.38,-0.08,13.87,682.8450,10.1470,1008.22,7.0023,
3.0,4058.200439,7351.799805,12,130012.05,285.42,-0.26,0.36,-0.08,13.87,682.7315,10.1355,1008.29,6.9981,
3.1,4058.200439,7351.799805,12,130012.15,285.42,-0.26,0.37,-0.07,13.86,682.9172,10.1612,1008.21,6.9940,
3.2,4058.200439,7351.799805,12,130012.24,285.42,-0.26,0.35,-0.08,13.87,682.9379,10.1445,1008.01,7.0054,
3.3,4058.200439,7351.799805,12,130012.34,285.42,-0.25,0.39,-0.07,13.86,682.7418,10.1561,1008.21,7.0085,
3.4,4058.200439,7351.799805,12,130012.45,285.42,-0.25,0.39,-0.07,13.86,682.9275,10.1574,1008.16,7.0053,
3.5,4058.200439,7351.799805,12,130012.54,285.42,-0.26,0.38,-0.08,13.87,682.7824,10.1381,1008.21,6.9950,
3.6,4058.200439,7351.799805,12,130012.64,285.43,-0.28,0.33,-0.11,13.86,682.6283,10.1587,1008.02,7.0002,
3.7,4058.200439,7351.799805,12,130012.74,285.43,-0.31,0.31,-0.11,13.79,682.8759,10.1471,1008.09,7.0033,
3.8,4058.200439,7351.799805,12,130012.85,285.42,-0.33,0.33,-0.07,13.79,682.8140,10.1393,1007.95,7.0600,
3.9,4058.200439,7351.799805,12,130012.95,285.41,-0.32,0.31,-0.08,13.79,682.9785,10.1238,1007.93,7.0601,
4.0,4058.200439,7351.799805,12,130013.04,285.41,-0.32,0.26,-0.07,13.79,682.8140,12.5400,1007.96,7.0631,
4.1,4058.200439,7351.799805,12,130013.14,285.41,-0.29,0.29,-0.07,13.80,679.4919,14.8284,1008.11,7.0879,
4.2,4058.200439,7351.799805,12,130013.24,285.41,-0.23,0.34,-0.05,13.83,679.5951,14.8104,1008.02,7.0806,
4.3,4058.200439,7351.799805,12,130013.34,285.41,-0.23,0.34,-0.05,13.83,679.6157,13.8292,1007.96,7.0642,
4.4,4058.200439,7351.799805,12,130013.45,285.41,-0.24,0.34,-0.06,13.84,679.5951,13.8498,1008.12,7.0632,
4.5,4058.200439,7351.799805,12,130013.55,285.41,-0.27,0.34,-0.09,13.88,679.6770,13.8408,1007.75,7.0642,
4.6,4058.200439,7351.799805,12,130013.65,285.41,-0.26,0.37,-0.10,13.86,680.4617,12.6999,1008.31,7.0559,
4.7,4058.200439,7351.799805,12,130013.74,285.41,-0.24,0.44,-0.14,13.79,680.4720,12.7269,1008.04,7.0827,
4.8,4058.200439,7351.799805,12,130013.84,285.42,-0.22,0.45,-0.14,13.83,680.3998,12.7243,1008.12,7.1044,
4.9,4058.200439,7351.799805,12,130013.95,285.41,-0.17,0.48,-0.12,14.46,680.5236,11.7742,1007.95,7.1065,
5.0,4058.200439,7351.799805,12,130014.05,285.41,-0.26,0.50,-0.08,16.25,680.3483,11.7870,1008.10,7.1188,
5.1,4058.200439,7351.799805,12,130014.15,285.42,-0.38,0.46,-0.07,16.66,680.3476,13.3779,1008.06,7.1179,
5.2,4058.200439,7351.799805,12,130014.24,285.41,-0.44,0.39,-0.05,16.78,680.2451,13.3819,1008.04,7.1023,
5.3,4058.200439,7351.799805,12,130014.34,285.41,-0.39,0.36,-0.01,16.65,679.9872,13.9800,1007.91,7.1096,
5.4,4058.200439,7351.799805,12,130014.45,285.42,-0.31,0.32,-0.01,16.43,680.0181,13.9671,1008.12,7.1086,
