DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/1/2016,  3:39:58 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
1.0,4102.421875,7348.138184,8,194035.50,228.67,0.16,0.05,-0.29,12.73,462.6347,2.1318,1015.50,2.0796,
1.1,4102.421875,7348.138184,8,194035.59,228.67,0.16,0.01,-0.28,12.68,462.5109,2.1139,1015.70,2.0610,
1.2,4102.421875,7348.138184,8,194035.70,228.67,0.14,0.09,-0.25,12.70,462.3871,2.1164,1015.67,2.0692,
1.3,4102.421875,7348.138184,8,194035.78,228.67,0.13,0.09,-0.25,12.72,462.5721,2.1164,1015.65,2.0734,
1.4,4102.421875,7348.138184,8,194035.89,228.68,0.06,0.16,-0.17,12.72,462.6753,2.1215,1015.70,2.0858,
1.5,4102.421875,7348.138184,8,194035.98,228.68,-0.00,0.27,-0.15,12.73,462.5212,2.0674,1015.69,2.0981,
1.6,4102.421875,7348.138184,8,194036.08,228.68,0.10,0.29,-0.17,12.72,462.6237,2.1318,1015.62,2.1084,
1.7,4102.421875,7348.138184,8,194036.20,228.68,0.22,0.23,-0.19,12.70,450.9288,2.0700,1015.70,2.1002,
1.8,4102.421875,7348.138184,8,194036.30,228.68,0.24,0.20,-0.21,12.73,450.8354,2.0493,1015.67,2.0920,
1.9,4102.421875,7348.138184,8,194036.39,228.68,0.12,0.08,-0.25,12.72,450.9804,2.1009,1015.51,2.0919,
2.0,4102.421875,7348.138184,8,194036.48,228.68,0.03,0.08,-0.22,12.72,451.1035,2.0906,1015.56,2.0837,
2.1,4102.421875,7348.138184,8,194036.58,228.69,-0.01,0.11,-0.15,12.75,450.5672,2.1087,1015.64,2.0795,
2.2,4102.421875,7348.138184,8,194036.70,228.68,-0.03,0.08,-0.17,12.77,443.6268,2.0467,1015.63,2.0734,
2.3,4102.421875,7348.138184,8,194036.80,228.69,-0.04,0.08,-0.09,12.80,443.6475,2.0313,1015.70,2.0960,
2.4,4102.421875,7348.138184,8,194036.89,228.69,-0.11,0.09,-0.04,12.78,443.4515,2.0390,1015.64,2.1208,
2.5,4102.421875,7348.138184,8,194037.00,228.68,-0.18,0.07,-0.01,12.80,440.1924,2.0725,1015.69,2.0961,
2.6,4102.421875,7348.138184,8,194037.08,228.69,-0.16,0.11,-0.08,12.84,440.3265,2.0906,1015.67,2.0775,
2.7,4102.421875,7348.138184,8,194037.19,228.69,-0.16,0.28,-0.13,12.77,437.6038,2.0571,1015.69,2.1249,
2.8,4102.421875,7348.138184,8,194037.28,228.68,-0.01,0.35,-0.15,12.80,437.5522,2.0648,1015.73,2.1043,
2.9,4102.421875,7348.138184,8,194037.39,228.68,0.08,0.28,-0.11,12.81,436.1392,2.0725,1015.39,2.0548,
3.0,4102.421875,7348.138184,8,194037.50,228.69,0.10,0.17,-0.15,12.85,436.0980,2.0777,1015.59,2.0630,
3.1,4102.421875,7348.138184,8,194037.59,228.69,0.05,0.10,-0.19,12.85,435.9330,2.0545,1015.54,2.0816,
3.2,4102.421875,7348.138184,8,194037.70,228.69,-0.04,0.10,-0.19,12.85,434.8397,2.1138,1015.86,2.0651,
3.3,4102.421875,7348.138184,8,194037.78,228.69,0.00,0.10,-0.16,12.88,434.8288,2.0648,1015.57,2.1022,
3.4,4102.421875,7348.138184,8,194037.89,228.69,-0.07,0.07,-0.15,12.92,432.6629,2.0777,1015.54,2.0610,
3.5,4102.421875,7348.138184,8,194037.98,228.68,-0.21,0.10,-0.06,12.95,432.5295,2.0519,1015.66,2.0960,
3.6,4102.421875,7348.138184,8,194038.08,228.68,-0.27,0.11,-0.09,12.93,432.5495,2.0184,1015.71,2.1084,
3.7,4102.421875,7348.138184,8,194038.20,228.69,-0.17,0.20,-0.12,12.92,432.5501,2.0416,1015.75,2.0899,
3.8,4102.421875,7348.138184,8,194038.30,228.69,-0.05,0.31,-0.23,12.88,432.3226,2.0596,1015.67,2.0899,
3.9,4102.421875,7348.138184,8,194038.39,228.69,0.02,0.27,-0.25,12.85,432.1060,2.0828,1015.53,2.0527,
4.0,4102.421875,7348.138184,8,194038.48,228.69,0.01,0.20,-0.30,12.87,431.9829,2.0622,1015.77,2.0651,
4.1,4102.421875,7348.138184,8,194038.58,228.68,0.01,0.26,-0.24,12.83,431.8488,2.0778,1015.69,2.0692,
4.2,4102.421875,7348.138184,8,194038.70,228.68,-0.03,0.22,-0.17,12.87,431.8591,2.0957,1015.71,2.1023,
4.3,4102.421875,7348.138184,8,194038.80,228.67,-0.03,0.22,-0.17,12.87,431.9410,2.0596,1015.50,2.1084,
4.4,4102.421875,7348.138184,8,194038.91,228.66,-0.06,0.18,-0.13,12.92,431.7966,2.0364,1015.74,2.0755,
4.5,4102.421875,7348.138184,8,194039.00,228.66,-0.07,0.18,-0.13,12.92,431.8791,2.0493,1015.78,2.1126,
4.6,4102.421875,7348.138184,8,194039.11,228.67,-0.09,0.17,-0.10,12.91,432.0551,2.0468,1015.74,2.0982,
4.7,4102.421875,7348.138184,8,194039.19,228.68,-0.12,0.20,-0.07,12.95,431.8076,2.0828,1015.82,2.0816,
4.8,4102.421875,7348.138184,8,194039.28,228.67,-0.10,0.17,-0.04,12.97,428.9713,2.0364,1015.77,2.0899,
4.9,4102.421875,7348.138184,8,194039.39,228.67,-0.13,0.13,-0.06,13.00,428.8469,2.0390,1015.65,2.0981,
5.0,4102.421875,7348.138184,8,194039.50,228.67,-0.18,0.10,-0.06,13.00,429.6720,2.0571,1015.59,2.0857,
5.1,4102.421875,7348.138184,8,194039.59,228.67,-0.14,0.02,-0.02,12.99,429.8170,2.0803,1015.54,2.0630,
