DASYLab - V 13.00.00
Worksheet name: VAN18
Recording date     : 11/2/2016,  5:15:46 PM
Block length       : 1
Delta              : 0.1 sec.
Number of channels : 13
Measurement time[s],GPS Latitude,GPS Longitude [V],satellites [V],GPS Time [V],Compass Heading [V],3DS U [V],3DS V [V],3DS W [V],3DS Sonic Temp [V],PCO2 [V],PCH4 [V],pressure mbar   [V],LG methane   [V],
0.9,4058.361328,7346.486328,13,211624.09,136.76,-0.25,0.30,-0.01,18.61,467.5601,2.2171,1011.70,5.5551,
1.0,4058.361328,7346.486328,13,211624.20,136.77,-0.26,0.30,-0.01,18.61,467.4776,2.2350,1011.64,5.5665,
1.1,4058.361328,7346.486328,13,211624.30,136.78,-0.30,0.30,0.00,18.57,467.5807,2.2299,1011.75,5.5551,
1.2,4058.361328,7346.486328,13,211624.39,136.79,-0.30,0.30,0.00,18.57,467.4879,2.1963,1011.67,5.5582,
1.3,4058.361328,7346.486328,13,211624.50,136.79,-0.30,0.30,0.00,18.57,467.6220,2.2170,1011.80,5.5593,
1.4,4058.361328,7346.486328,13,211624.58,136.81,-0.33,0.31,0.02,18.59,467.8289,2.2428,1011.82,5.5613,
1.5,4058.361328,7346.486328,13,211624.70,136.82,-0.35,0.32,0.02,18.61,467.9218,2.2273,1011.80,5.5809,
1.6,4058.361328,7346.486328,13,211624.80,136.83,-0.35,0.42,0.06,18.57,467.7767,2.2016,1011.65,5.5758,
1.7,4058.361328,7346.486328,13,211624.91,136.85,-0.37,0.59,-0.01,18.59,468.3234,2.2428,1011.75,5.7665,
1.8,4058.361328,7346.486328,13,211625.00,136.85,-0.25,0.64,0.03,18.52,468.5194,2.2402,1011.72,5.7521,
1.9,4058.361328,7346.486328,13,211625.08,136.87,-0.20,0.62,-0.03,18.57,467.7870,2.2532,1011.80,5.7398,
2.0,4058.361328,7346.486328,13,211625.20,136.88,-0.21,0.63,-0.03,18.57,467.6117,2.2480,1011.70,5.7541,
2.1,4058.361328,7346.486328,13,211625.30,136.89,-0.16,0.48,0.23,18.61,467.7458,2.2273,1011.71,5.7428,
2.2,4058.361328,7346.486328,13,211625.41,136.90,-0.20,0.41,0.19,18.62,467.6736,2.1835,1011.84,5.7542,
2.3,4058.361328,7346.486328,13,211625.50,136.90,-0.15,0.37,0.14,18.59,467.6329,2.2273,1011.56,5.7573,
2.4,4058.361328,7346.486328,13,211625.59,136.92,-0.22,0.39,0.02,18.61,466.8277,2.2532,1011.67,5.7521,
2.5,4058.361328,7346.486328,13,211625.70,136.93,-0.31,0.47,0.04,18.68,466.6730,2.1912,1011.62,5.7542,
2.6,4058.361328,7346.486328,13,211625.78,136.94,-0.42,0.49,0.17,18.73,466.6214,2.1809,1011.86,5.7634,
2.7,4058.361328,7346.486328,13,211625.89,136.94,-0.41,0.51,0.22,18.65,467.3538,2.1887,1011.79,5.9222,
2.8,4058.361328,7346.486328,13,211626.00,136.95,-0.28,0.64,0.27,18.61,467.3132,2.1783,1011.70,5.9377,
2.9,4058.361084,7346.486328,13,211626.09,136.96,-0.32,0.71,0.28,18.69,467.1888,2.2092,1011.66,5.9037,
3.0,4058.361084,7346.486328,13,211626.20,136.97,-0.24,0.63,0.04,18.69,466.9728,2.2505,1011.74,5.9274,
3.1,4058.361084,7346.486328,13,211626.30,136.99,-0.16,0.55,0.06,18.68,466.9825,2.1732,1011.84,5.9171,
3.2,4058.361084,7346.486328,13,211626.39,137.00,-0.03,0.50,-0.03,18.68,467.1372,2.2608,1011.53,5.9212,
